Births;1800;1801;1802;1803;1804;1805;1806;1807;1808;1809;1810;1811;1812;1813;1814;1815;1816;1817;1818;1819;1820;1821;1822;1823;1824;1825;1826;1827;1828;1829;1830;1831;1832;1833;1834;1835;1836;1837;1838;1839;1840;1841;1842;1843;1844;1845;1846;1847;1848;1849;1850;1851;1852;1853;1854;1855;1856;1857;1858;1859;1860;1861;1862;1863;1864;1865;1866;1867;1868;1869;1870;1871;1872;1873;1874;1875;1876;1877;1878;1879;1880;1881;1882;1883;1884;1885;1886;1887;1888;1889;1890;1891;1892;1893;1894;1895;1896;1897;1898;1899;1900;1901;1902;1903;1904;1905;1906;1907;1908;1909;1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Japan;896974;903781;910601;917437;924287;931151;936095;942986;949893;956813;963772;970718;977675;978788;981851;982960;986024;987129;988231;991294;992391;995454;996548;999611;1000700;1001786;1004849;1005930;1008992;1010070;1013131;1014204;1015278;1018347;1019426;1022503;1023586;1026673;1027760;1030855;1033956;1039203;1042580;1046095;1049751;1053549;1059516;1063606;1067841;1072225;1076757;1083400;1088150;1093054;1098111;1103325;1110773;1116309;1122006;1127865;1133887;1142325;1148825;1155492;1130184;1102617;1077180;1051754;1026305;998547;972837;947052;921167;812557;842210;876039;910445;894102;878521;877426;887518;945622;926930;1009869;975906;1022120;1053643;1062219;1176929;1214261;1144520;1085856;1209220;1179708;1215836;1252543;1285977;1341936;1373760;1393531;1396076;1509572;1513182;1488973;1436546;1424934;1394150;1616705;1668425;1698657;1671773;1753999;1743448;1763042;1813783;1753835;1802903;1811621;1783995;1776959;2010763;1972422;1951560;2028391;1979472;2067400;2081102;2040358;2114251;2057508;2068354,42857143;2079200,85714286;2090047,28571429;2100893,71428571;2111740,14285714;2122586,57142857;2133433;2144279,42857143;2155125,85714286;2165972,28571429;2176818,71428571;2187665,14285714;2198511,57142857;2209358;2220204,42857143;2231050,85714286;2241897,28571429;2252743,71428571;2263590,14285714;2274436,57142857;2285283;2212695;2076110;1956707;1854488;1769419;1701348;1649886;1614378;1593793;1586751;1591583;1606273;1628698;1656936;1691533;1734370;1785414;1842219;1900196;1951505;1987458;2002798;1995015;1964283;1913907;1850009;1781370;1715435;1656070;1605487;1563539;1526873;1492707;1460452;1429290;1398475;1367894;1337713;1308222;1280371;1255435;1234338;1217481;1204664;1195078;1187477;1180433;1172862;1164317;1154933;1145355;1136497;1128915;1122539;1116915;1111338;1105089;1097700;1089085;1079466;1069327;1059315;1049909;1041249;1033266
Jersey;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jordan;10404;10404;10404;10404;10404;10404;10404;10404;10404;10404;10404;10406;10410;10416;10424;10435;10447;10461;10478;10496;10517;10539;10564;10591;10620;10651;10685;10720;10758;10798;10840;10884;10929;10973;11018;11063;11108;11153;11199;11245;11290;11336;11383;11429;11476;11523;11570;11617;11664;11712;11760;11801;11843;11884;11926;11968;12010;12053;12095;12138;12180;12224;12270;12317;12366;12416;12468;12521;12576;12632;12690;12750;12811;12866;12931;12997;13066;13132;13205;13280;13356;13430;13507;13584;13660;13738;13816;13894;13973;14053;14133;14213;14294;14376;14458;14540;14623;14706;14790;14874;14959;15044;15128;15214;15301;15388;15476;15562;15651;15740;15830;15919;16010;16104;16203;16305;16408;16512;16629;16744;16860;16976;17093;17211;17330;17449;17616;17808;17978;18150;18336,7142857143;18523,4285714286;18710,1428571429;18896,8571428571;19083,5714285714;19270,2857142857;19457;19643,7142857143;19830,4285714286;20017,1428571429;20203,8571428571;20390,5714285714;20577,2857142857;20764;20950,7142857143;21137,4285714286;21324,1428571429;21510,8571428571;21697,5714285714;21884,2857142857;22071;22961;24819;26830;28995;31314;33790;36422;39214;42170;45292;48578;52017;55587;59249;63002;66856;70771;74664;78427;81869;84784;87082;88759;89872;90582;91118;91727;92597;93810;95325;97005;98681;100270;101814;103472;105463;107960;111045;114691;118812;123259;127787;132165;136237;139808;142726;145032;146834;148242;149442;150658;152122;154030;156505;159717;163792;168585;173860;179370;184751;189606;193637;196631;198482;199164
Kazakhstan;91136;91136;91136;91136;91136;91136;91136;91136;91136;91136;91136;91175;91256;91376;91538;91741;91986;92273;92602;92975;93390;93850;94353;94901;95494;96132;96816;97546;98322;99146;100017;100936;101863;102799;103744;104697;105659;106630;107610;108598;109596;110603;111619;112645;113680;114724;115778;116842;117916;118999;120092;121190;122297;123415;124542;125680;126829;127988;129157;130337;131528;132730;133943;135167;136402;137648;138906;140175;141456;142749;144053;145369;146698;147997;149349;150714;152091;153442;154844;156259;157687;159092;160546;162013;163462;164955;166462;167955;169490;171039;172602;174179;175770;177376;178997;180633;182024;183687;185102;186527;188232;189680;191113;192860;194343;195838;197628;199108;200639;202472;204028;205584;207462;209056;210661;212586;214218;215862;217849;219531;221226;223258;224982;226718;228801;230566;230982;231387;231780;232160;231671,761904762;231183,523809524;230695,285714286;230207,047619048;229718,80952381;229230,571428571;228742,333333333;228254,095238095;227765,857142857;227277,619047619;226789,380952381;226301,142857143;225812,904761905;225324,666666667;224836,428571429;224348,19047619;223859,952380952;223371,714285714;222883,476190476;222395,238095238;221907;229330;244220;259202;274276;289389;304362;318983;332829;345136;355074;361852;364826;363839;359360;352508;344811;337853;332842;330326;330276;332080;334619;337070;339274;341389;343831;347118;351564;357153;364047;372372;381660;391147;399988;406899;410545;410188;405482;396417;383124;366065;346586;326193;306102;287474;271195;257701;247460;241068;239346;242925;251363;263814;279390;296922;315135;332749;348579;361726;371491;377630;380741;381443;380008;376735
Kenya;122432;122432;122432;122432;122432;122432;122432;122432;122432;122432;122432;122432;122432;122432;122432;122432;122432;122432;122432;122432;122432;122432;122432;122432;122432;122432;122432;122432;122432;122432;122432;122432;122432;122432;122432;122432;122432;122432;122432;122432;122432;122432;122432;122432;122432;122432;122432;122432;122432;122432;122432;122485;122537;122590;122642;122695;122748;122800;122853;122905;122958;123010;123063;123116;123168;123221;123273;123326;123378;123431;123484;123536;123589;123641;123694;123746;123799;123852;123904;123957;124009;124062;124114;124167;124220;124272;124325;124377;124430;124482;124535;124588;124640;124693;124745;124798;124850;124903;124956;125008;125061;125113;125166;125218;125271;125324;125376;125429;125481;125534;125586;125639;125692;125744;125797;125849;125902;125954;125937;125937;125937;126643;128066;130219;132408;134635;137263;139757;142484;145263;153335,333333333;161407,666666667;169480;177552,333333333;185624,666666667;193697;201769,333333333;209841,666666667;217914;225986,333333333;234058,666666667;242131;250203,333333333;258275,666666667;266348;274420,333333333;282492,666666667;290565;298637,333333333;306709,666666667;314782;319580;329307;339297;349548;360060;370832;381872;393192;404806;416741;429041;441778;455053;468991;483771;499575;516477;534491;553594;573696;594654;616270;638376;660875;683828;707388;731621;756452;781665;807122;832705;858080;882777;906283;927602;945679;960281;971687;980521;987865;995088;1003708;1015032;1029886;1048979;1072575;1099901;1130043;1162380;1196248;1230999;1265925;1300267;1333321;1364434;1393198;1419728;1444191;1466611;1487081;1505800;1523177;1539642;1555518;1571032
Kiribati;710;710;710;710;710;710;710;710;710;710;710;710;710;710;711;711;712;712;713;714;715;716;717;719;720;722;723;725;727;729;731;733;735;737;739;741;744;746;748;750;752;754;757;759;761;763;766;768;770;772;775;780;785;790;796;801;807;812;817;823;828;834;839;845;851;856;862;868;873;879;885;890;896;902;908;914;920;926;932;938;944;950;956;962;968;974;980;986;993;999;1005;1012;1018;1024;1031;1037;1044;1050;1057;1063;1070;1076;1083;1090;1096;1103;1110;1117;1123;1130;1137;1144;1151;1158;1165;1172;1179;1186;1188;1192;1195;1199;1202;1206;1209;1213;1216;1220;1223;1227;1238,71428571429;1250,42857142857;1262,14285714286;1273,85714285714;1285,57142857143;1297,28571428571;1309;1320,71428571429;1332,42857142857;1344,14285714286;1355,85714285714;1367,57142857143;1379,28571428571;1391;1402,71428571429;1414,42857142857;1426,14285714286;1437,85714285714;1449,57142857143;1461,28571428571;1473;1508;1576;1640;1701;1757;1809;1856;1898;1934;1961;1980;1988;1986;1974;1953;1921;1882;1840;1799;1766;1746;1743;1758;1792;1841;1901;1966;2030;2090;2147;2200;2253;2308;2363;2417;2470;2520;2564;2602;2631;2649;2657;2654;2644;2629;2611;2595;2584;2579;2584;2600;2625;2657;2697;2744;2796;2852;2909;2966;3021;3070;3114;3152;3183;3207
North Korea;184339;184339;184339;184339;184339;184339;184339;184339;184339;184339;184339;184345;184359;184378;184405;184438;184477;184523;184576;184636;184702;184774;184854;184940;185032;185132;185238;185350;185470;185596;185728;185868;186007;186146;186286;186426;186566;186706;186846;186986;187126;187266;187407;187548;187688;187829;187970;188111;188252;188393;188535;188950;189366;189783;190200;190618;191036;191454;191873;192293;192713;193145;193588;194042;194508;194985;195474;195975;196487;197012;197548;198096;198657;199176;199764;200367;200983;201587;202241;202911;203582;204253;204928;205605;206281;206962;207644;208327;209012;209700;210390;211081;211775;212470;213167;213866;214567;215270;215975;216682;217390;218101;218812;219854;220572;221291;222012;223066;223792;224520;225251;225982;227054;229070;232398;237070;242195;247063;251584;256301;261107;266002;270989;276070;278737;281834;284514;287638;290329;298066;289943,666666667;281821,333333333;273699;265576,666666667;257454,333333333;249332;241209,666666667;233087,333333333;224965;216842,666666667;208720,333333333;200598;192475,666666667;184353,333333333;176231;168108,666666667;159986,333333333;151864;143741,666666667;135619,333333333;127497;167162;240180;300573;348341;383660;407156;419761;423222;420558;415282;411056;411445;418765;433427;454244;478447;501516;519546;530517;531951;522100;502395;475292;443181;410171;380961;358960;346269;343484;349390;361123;374457;386056;394623;399981;403103;405945;409861;414921;420778;426722;431766;435133;436507;435716;432827;428336;422739;416316;409218;401501;393304;384902;376691;369210;362981;358243;355093;353531;353398;354375;355943;357633;359169;360375
South Korea;392626;392626;392626;392626;392626;392626;392626;392626;392626;392626;392626;392636;392656;392686;392725;392775;392834;392903;392982;393071;393170;393279;393398;393527;393666;393814;393973;394141;394320;394509;394707;394915;395124;395333;395541;395750;395959;396169;396378;396587;396797;397017;397247;397488;397740;398003;398276;398559;398854;399159;399475;399810;400155;400511;400878;401256;401645;402045;402455;402876;403309;403740;404161;404570;404969;405356;405732;406097;406451;406794;407125;407445;407754;408107;408389;408659;408916;409184;409405;409612;409819;410026;410233;410440;410647;410855;411062;411270;411478;411686;411894;412102;412311;412520;412729;412938;413204;413528;413909;414347;414844;415398;415244;415945;416083;416925;417132;417972;418179;420205;423427;425993;432826;439166;445934;452119;459014;465650;473102;481295;490286;500090;510866;521880;530310;537700;544016;549611;555256;565309;562847,476190476;560385,952380952;557924,428571429;555462,904761905;553001,380952381;550539,857142857;548078,333333333;545616,809523809;543155,285714286;540693,761904762;538232,238095238;535770,714285714;533309,19047619;530847,666666667;528386,142857143;525924,619047619;523463,095238095;521001,571428571;518540,047619048;516078,523809524;513617;572522;683510;780851;864546;934595;991057;1034247;1064645;1082945;1090208;1087853;1077814;1062477;1044412;1027027;1013437;1004506;1000128;999745;1000656;998911;991100;975362;951885;923022;892633;864801;842225;825403;812517;800124;784747;764516;739882;713654;690077;672930;664302;664000;670057;679053;686562;689046;684912;673052;653466;628482;600619;571521;543325;518098;496975;480644;469453;463056;460408;459732;459544;459176;458343;457197;456311;456061;456369;457036
"United Korea (former)
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kosovo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kuwait;3845;3845;3845;3845;3845;3845;3845;3845;3845;3845;3845;3845;3845;3845;3845;3845;3845;3845;3845;3845;3845;3845;3845;3845;3845;3845;3845;3845;3845;3845;3845;3845;3845;3845;3845;3845;3845;3845;3845;3845;3845;3845;3845;3845;3845;3845;3845;3845;3845;3845;3845;3844;3843;3842;3840;3839;3838;3837;3835;3834;3833;3833;3833;3835;3838;3842;3847;3853;3860;3868;3877;3887;3898;3906;3919;3934;3951;3965;3985;4006;4027;4048;4069;4090;4111;4133;4155;4176;4198;4220;4242;4264;4287;4309;4332;4354;4377;4400;4423;4446;4470;4493;4516;4540;4564;4588;4612;4636;4660;4684;4709;4733;4758;4791;4832;4882;4931;4982;5035;5088;5142;5196;5251;5307;5363;5419;5484;5556;5623;5697;5811,61904761905;5926,2380952381;6040,85714285714;6155,47619047619;6270,09523809524;6384,71428571429;6499,33333333333;6613,95238095238;6728,57142857143;6843,19047619048;6957,80952380952;7072,42857142857;7187,04761904762;7301,66666666667;7416,28571428571;7530,90476190476;7645,52380952381;7760,14285714286;7874,7619047619;7989,38095238095;8104;7881;7528;7360;7377;7581;7980;8579;9394;10450;11777;13395;15320;17540;20018;22717;25598;28584;31587;34520;37276;39764;41961;43868;45494;46935;48329;49769;51280;52806;54199;55258;55803;55721;54992;53592;51546;49046;46332;43616;41194;39362;38244;37880;38250;39165;40319;41413;42265;42859;43363;44064;45257;47111;49619;52666;56045;59453;62632;65445;67822;69782;71432;72846;74010;74871
Kyrgyz Republic;24115;24115;24115;24115;24115;24115;24115;24115;24115;24115;24115;24126;24147;24179;24222;24275;24340;24416;24503;24602;24711;24833;24966;25111;25268;25436;25617;25810;26016;26233;26464;26707;26952;27199;27449;27701;27955;28212;28471;28732;28996;29262;29531;29802;30076;30352;30631;30912;31196;31482;31771;32062;32356;32652;32951;33253;33558;33865;34175;34488;34804;35123;35445;35769;36097;36428;36761;37098;37438;37781;38127;38476;38829;39173;39532;39894;40260;40618;40990;41366;41745;42118;42503;42893;43277;43674;44074;44470;44877;45288;45703;46122;46544;46971;47401;47835;48273;48715;49162;49612;50066;50525;50981;51448;51919;52394;52874;53348;53837;54330;54828;55327;55834;56345;56861;57382;57908;58438;58975;59517;60063;60614;61171;61733;62299;62871;62209;61440;60742;59934;59961,4285714286;59988,8571428571;60016,2857142857;60043,7142857143;60071,1428571429;60098,5714285714;60126;60153,4285714286;60180,8571428571;60208,2857142857;60235,7142857143;60263,1428571429;60290,5714285714;60318;60345,4285714286;60372,8571428571;60400,2857142857;60427,7142857143;60455,1428571429;60482,5714285714;60510;61189;62712;64566;66751;69257;72048;75073;78238;81376;84296;86806;88729;89966;90538;90580;90317;90032;89946;90154;90607;91149;91628;92000;92367;92998;94239;96319;99332;103223;107848;112967;118189;123135;127537;131151;133823;135600;136543;136659;135969;134524;132479;130007;127252;124252;120983;117505;113992;110709;108045;106400;105997;106950;109277;112997;118038;124008;130425;136864;142789;147699;151356;153637;154483;153977
Lao;20029;20029;20029;20029;20029;20029;20029;20029;20029;20029;20029;20039;20057;20084;20121;20167;20223;20289;20364;20449;20544;20648;20763;20888;21024;21170;21326;21493;21670;21858;22057;22267;22480;22694;22910;23128;23348;23571;23795;24022;24251;24482;24715;24950;25188;25428;25670;25914;26161;26410;26662;26913;27167;27423;27682;27943;28206;28472;28740;29011;29285;29568;29861;30165;30479;30803;31139;31485;31842;32211;32592;32984;33389;33753;34184;34629;35088;35525;36018;36528;37045;37549;38080;38618;39146;39700;40262;40815;41392;41978;42572;43174;43785;44404;45032;45669;46315;46970;47635;48309;48992;49685;50371;51084;51806;52539;53282;54011;54775;55550;56335;57125;57933;58576;59051;59355;59660;59967;60283;60599;60916;61236;61556;61879;62203;62529;62763;62998;63328;63565;64293,2857142857;65021,5714285714;65749,8571428571;66478,1428571429;67206,4285714286;67934,7142857143;68663;69391,2857142857;70119,5714285714;70847,8571428571;71576,1428571429;72304,4285714286;73032,7142857143;73761;74489,2857142857;75217,5714285714;75945,8571428571;76674,1428571429;77402,4285714286;78130,7142857143;78859;79386;80474;81634;82866;84168;85543;86993;88522;90136;91843;93653;95576;97620;99793;102120;104630;107317;110149;113083;116036;118913;121654;124227;126635;128894;131045;133186;135418;137819;140503;143572;147039;150876;155035;159511;164298;169250;174151;178762;182732;185710;187529;188130;187535;185813;183124;179839;176358;172999;170132;168073;166891;166577;167106;168342;170046;171894;173612;175056;176167;176984;177640;178218;178702;179042
Latvia;21683;21646;21608;21608;21571;21534;21496;21459;21459;21421;21384;21356;21337;21365;21366;21375;21395;21424;21501;21549;21608;21676;21754;21881;21979;22087;22205;22333;22511;22660;22819;22988;23158;23371;23544;23719;23894;24071;24293;24472;24653;24835;25018;25249;25435;25622;25811;26001;26241;26434;26629;26726;26872;26969;27064;27211;27306;27401;27548;27642;27790;27883;27975;28123;28214;28305;28453;28543;28632;28779;28867;28955;29101;29179;29326;29411;29495;29634;29716;29798;29943;30016;30095;30240;30311;30387;30531;30600;30743;30815;30887;31028;31097;31165;31306;31371;31435;31574;31712;31851;31989;32048;32181;32318;32455;32591;32728;32857;32993;33128;33263;33396;33530;33576;33709;33841;33973;34105;34234;34364;34493;34621;34749;34876;35003;34462;34028;33583;33127;32660;32670,7619047619;32681,5238095238;32692,2857142857;32703,0476190476;32713,8095238095;32724,5714285714;32735,3333333333;32746,0952380952;32756,8571428571;32767,619047619;32778,380952381;32789,1428571429;32799,9047619048;32810,6666666667;32821,4285714286;32832,1904761905;32842,9523809524;32853,7142857143;32864,4761904762;32875,2380952381;32886;33123;33557;33907;34172;34351;34444;34450;34370;34201;33944;33607;33206;32772;32349;32014;31853;31901;32163;32613;33168;33710;34138;34395;34481;34460;34438;34532;34823;35322;36045;36983;38033;39067;39970;40572;40705;40298;39331;37827;35835;33445;30843;28223;25738;23551;21790;20474;19594;19147;19103;19398;19902;20487;21062;21533;21831;21957;21923;21731;21415;21030;20643;20308;20046;19865
Lebanon;13327;13327;13327;13327;13327;13327;13327;13327;13327;13327;13327;13331;13341;13355;13373;13396;13424;13457;13495;13537;13585;13637;13695;13757;13824;13897;13974;14057;14145;14238;14336;14440;14544;14650;14756;14862;14970;15078;15187;15297;15407;15519;15631;15744;15858;15973;16088;16205;16322;16440;16559;16660;16762;16864;16968;17071;17176;17281;17386;17493;17599;17707;17815;17924;18033;18143;18254;18365;18478;18590;18704;18818;18932;19044;19161;19277;19395;19510;19629;19748;19868;19987;20108;20230;20351;20475;20599;20722;20848;20975;21102;21231;21359;21489;21620;21751;21883;22015;22149;22283;22418;22554;22689;22826;22964;23103;23243;23381;23522;23665;23808;23951;24096;24359;24744;25255;25775;26306;26891;27478;28078;28691;29317;29957;30611;31279;31962;32659;33372;34101;35080,1904761905;36059,380952381;37038,5714285714;38017,7619047619;38996,9523809524;39976,1428571429;40955,3333333333;41934,5238095238;42913,7142857143;43892,9047619048;44872,0952380952;45851,2857142857;46830,4761904762;47809,6666666667;48788,8571428571;49768,0476190476;50747,2380952381;51726,4285714286;52705,619047619;53684,8095238095;54664;55373;56817;58310;59853;61443;63069;64717;66357;67941;69411;70713;71793;72627;73223;73622;73891;74117;74372;74693;75114;75647;76252;76876;77482;78018;78433;78685;78742;78580;78167;77482;76560;75456;74227;72949;71704;70553;69542;68696;68031;67537;67151;66809;66464;66060;65545;64897;64107;63170;62002;60507;58741;56856;55056;53722;53284;53983;55908;59005;63103;67914;72964;77800;82114;85629
Lesotho;11269;11269;11269;11269;11269;11269;11269;11269;11269;11269;11269;11273;11281;11293;11310;11330;11355;11384;11417;11455;11497;11543;11593;11648;11708;11772;11841;11914;11991;12074;12161;12252;12345;12438;12532;12626;12721;12817;12914;13011;13110;13208;13308;13408;13510;13611;13714;13817;13922;14027;14132;14239;14345;14453;14562;14671;14781;14892;15004;15117;15230;15344;15460;15576;15693;15810;15929;16049;16169;16291;16413;16536;16660;16782;16908;17035;17163;17289;17419;17550;17681;17811;17945;18080;18213;18350;18488;18624;18764;18905;19047;19190;19334;19479;19626;19773;19921;20071;20222;20373;20526;20681;20834;20990;21148;21307;21467;21625;21787;21951;22116;22281;22448;22617;22786;22958;23130;23304;23480;23657;23835;24015;24196;24378;24562;24747;24934;25122;25312;25503;25772,2857142857;26041,5714285714;26310,8571428571;26580,1428571429;26849,4285714286;27118,7142857143;27388;27657,2857142857;27926,5714285714;28195,8571428571;28465,1428571429;28734,4285714286;29003,7142857143;29273;29542,2857142857;29811,5714285714;30080,8571428571;30350,1428571429;30619,4285714286;30888,7142857143;31158;31372;31810;32266;32742;33237;33751;34285;34842;35423;36031;36670;37343;38052;38800;39588;40418;41287;42190;43121;44080;45064;46069;47084;48097;49101;50091;51057;51986;52858;53649;54330;54894;55343;55682;55925;56086;56200;56299;56410;56581;56860;57247;57719;58240;58726;59073;59209;59101;58757;58215;57548;56864;56267;55821;55594;55635;55917;56398;57039;57782;58559;59297;59929;60414;60718
Liberia;13481;13481;13481;13481;13481;13481;13481;13481;13481;13481;13481;13487;13497;13513;13535;13561;13594;13632;13675;13725;13779;13840;13907;13979;14057;14141;14231;14327;14429;14538;14652;14773;14895;15017;15141;15266;15392;15519;15646;15775;15905;16036;16168;16302;16436;16571;16708;16846;16984;17124;17266;17413;17561;17710;17861;18013;18167;18321;18477;18635;18793;18953;19115;19278;19442;19607;19774;19943;20112;20284;20456;20630;20806;20979;21157;21337;21519;21698;21883;22069;22257;22442;22633;22826;23017;23213;23410;23606;23807;24010;24214;24420;24628;24838;25049;25263;25478;25695;25913;26134;26356;26581;26804;27032;27262;27494;27728;27960;28198;28438;28680;28923;29169;29417;29667;29920;30175;30431;30679;30932;31187;31444;31703;31964;32228;32493;32761;33031;33352;33627;34088,3333333333;34549,6666666667;35011;35472,3333333333;35933,6666666667;36395;36856,3333333333;37317,6666666667;37779;38240,3333333333;38701,6666666667;39163;39624,3333333333;40085,6666666667;40547;41008,3333333333;41469,6666666667;41931;42392,3333333333;42853,6666666667;43315;43878;45016;46181;47372;48588;49829;51092;52375;53673;54980;56293;57610;58937;60286;61676;63126;64656;66280;68007;69839;71773;73794;75890;78054;80327;82762;85357;88062;90795;93437;95863;97955;99613;100768;101279;101020;100074;98628;96903;95250;94055;93605;94096;95612;98155;101609;105649;109953;114316;118529;122432;125998;129220;132072;134588;136852;138998;141137;143314;145542;147797;150028;152198;154312;156381
Libya;26257;26273;26289;26305;26322;26338;26354;26370;26386;26402;26418;26440;26467;26500;26539;26583;26633;26689;26750;26818;26891;26970;27055;27146;27243;27346;27455;27570;27691;27819;27952;28092;28232;28374;28516;28658;28801;28946;29090;29236;29382;29529;29677;29825;29974;30124;30275;30426;30578;30731;30885;31077;31271;31466;31661;31859;32057;32256;32457;32659;32862;33066;33272;33478;33686;33895;34106;34318;34531;34745;34960;35177;35395;35612;35832;36054;36278;36500;36726;36953;37182;37409;37641;37873;38105;38341;38578;38814;39054;39295;39538;39782;40028;40275;40523;40773;41024;41277;41532;41788;42045;42304;42563;42825;43089;43354;43621;43886;44156;44428;44701;44975;45251;45529;45809;46091;46374;46658;46874;47108;47344;47581;47819;48058;48298;48540;48782;49026;49271;49518;49874,4285714286;50230,8571428571;50587,2857142857;50943,7142857143;51300,1428571429;51656,5714285714;52013;52369,4285714286;52725,8571428571;53082,2857142857;53438,7142857143;53795,1428571429;54151,5714285714;54508;54864,4285714286;55220,8571428571;55577,2857142857;55933,7142857143;56290,1428571429;56646,5714285714;57003;57688;59077;60504;61970;63478;65044;66683;68432;70352;72511;74976;77801;81005;84556;88404;92472;96636;100764;104754;108520;112008;115218;118141;120746;122989;124842;126330;127502;128405;129165;129931;130763;131651;132520;133139;133202;132513;131006;128759;125965;122908;119953;117417;115486;114275;113788;113877;114417;115380;116826;118840;121399;124388;127626;130869;133855;136362;138201;139243;139376;138568;136984;134819;132218;129352
Liechtenstein;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lithuania;33482;33389;33295;33202;33108;33015;32922;32828;32735;32641;32548;32469;32404;32353;32317;32294;32287;32293;32314;32349;32398;32462;32540;32632;32739;32860;32995;33145;33309;33487;33680;33887;34095;34304;34513;34724;34936;35149;35362;35577;35793;36009;36227;36445;36664;36885;37106;37328;37551;37776;38001;38228;38457;38686;38917;39148;39380;39613;39848;40083;40319;40556;40794;41033;41273;41513;41755;41998;42241;42485;42731;42977;43224;43460;43708;43958;44209;44449;44701;44954;45208;45453;45708;45965;46213;46471;46730;46981;47242;47503;47765;48027;48291;48555;48820;49086;49352;49620;49888;50156;50425;50696;50959;51230;51502;51775;52048;52312;52586;52861;53137;53410;53687;53964;54242;54520;54799;55078;55355;55633;55911;56190;56469;56749;57028;57309;57589;57870;58151;58432;58221,8571428571;58011,7142857143;57801,5714285714;57591,4285714286;57381,2857142857;57171,1428571429;56961;56750,8571428571;56540,7142857143;56330,5714285714;56120,4285714286;55910,2857142857;55700,1428571429;55490;55279,8571428571;55069,7142857143;54859,5714285714;54649,4285714286;54439,2857142857;54229,1428571429;54019;54900;56526;57878;58956;59761;60293;60560;60575;60353;59921;59312;58571;57755;56921;56142;55480;54954;54566;54314;54155;54019;53846;53601;53290;52954;52661;52482;52469;52636;53011;53614;54383;55227;56052;56727;57120;57145;56745;55892;54573;52813;50724;48432;46034;43614;41234;38941;36796;34870;33254;32020;31159;30637;30417;30432;30594;30806;30984;31075;31046;30893;30665;30408;30140;29897
